slug,market,city,state,market_type,data_complete,total_msv,core_msv,str_msv,oneoff_msv,str_share_pct,weighted_cpc_usd,competition_index,maps_rank_general,maps_rank_str,gbp_rating,gbp_reviews,gbp_title,pack_median_reviews,pack_max_reviews,pack_avg_rating,strong_competitors_20,organic_rank_city_term,serp_has_local_pack,serp_has_paid,serp_item_types,score_demand,score_commercial_value,score_str_wedge,score_competitive_headroom,score_visibility_gap,score_review_deficit,score_potential,score_headroom,opportunity_score,uncaptured_msv,status,model_cpl_usd
nw-austin,Northwest Austin,Cedar Park,TX,territory,True,190,140,20,30,10.5,7.75,61.4,,,,,,181,267,4.68,3,,True,False,local_pack|people_also_ask|organic|discussions_and_forums|related_searches,20.6,0.6,52.5,64.2,100.0,100.0,14.0,85.7,12.0,190,LAUNCH,77.5
myrtle-beach,Myrtle Beach,Myrtle Beach,SC,territory,True,200,150,20,30,10.0,11.5,33.9,4,1,4.8,257,MaidThis Cleaning Myrtle Beach,52,264,4.8,2,,True,False,local_pack|people_also_ask|organic|people_also_search|related_searches,21.8,14.1,50.0,91.1,60.0,79.1,15.5,75.3,11.7,120,GROW,115.0
ne-houston,Northeast Houston,Humble,TX,territory,True,190,140,20,30,10.5,9.73,28.4,6,6,5,32,MaidThis Cleaning of Northeast Houston,64,496,4.76,1,,True,False,local_pack|organic|people_also_ask|related_searches,20.6,7.7,52.5,88.6,60.0,97.4,14.4,77.0,11.1,114,GROW,97.3
chattanooga,Chattanooga,Chattanooga,TN,territory,True,300,240,20,40,6.7,10.93,26.1,3,2,4.9,142,MaidThis Cleaning of Chattanooga,142,276,4.9,4,,True,False,local_pack|people_also_ask|organic|related_searches,31.5,12.1,33.5,72.3,15.0,88.4,21.4,49.0,10.5,45,DEFEND,109.3
henry-county,Henry County,McDonough,GA,territory,True,150,110,20,20,13.3,11.26,19.7,,,,,,70,117,4.82,0,,True,False,local_pack|people_also_ask|organic|related_searches,15.0,13.2,66.5,87.3,100.0,100.0,11.0,94.9,10.4,150,LAUNCH,112.6
flower-mound,Flower Mound,Flower Mound,TX,territory,True,170,120,20,30,11.8,20.92,31,,,,,,363,623,4.92,7,,True,False,local_pack|organic|people_also_ask|related_searches,18.0,48.0,59.0,26.4,100.0,100.0,14.5,70.6,10.2,170,LAUNCH,209.2
east-tampa,East Tampa,Brandon,FL,territory,True,130,90,20,20,15.4,26.35,29.4,,,,,,18,306,4.92,2,,True,False,local_pack|organic|people_also_ask|perspectives|related_searches,11.6,67.5,77.0,98.1,100.0,100.0,10.2,99.3,10.1,130,LAUNCH,263.5
fishers,Fishers,Fishers,IN,territory,True,160,120,20,20,12.5,20.65,61.4,1,1,4.7,81,MaidThis Cleaning of Carmel-Fishers,242,454,4.74,7,,True,False,local_pack|people_also_ask|organic|related_searches,16.5,47.0,62.5,51.6,15.0,93.4,13.4,41.4,5.5,24,GROW,206.5
kingofprussia,King of Prussia,King of Prussia,PA,territory,True,100,60,20,20,20.0,21.77,42.5,,10,5,26,MaidThis Cleaning of King of Prussia,81,656,4.86,1,18,True,False,ai_overview|local_pack|organic|people_also_ask|related_searches,5.3,51.0,100.0,85.0,100.0,97.9,4.7,93.7,4.4,100,LAUNCH,217.7
spring-hill,Spring Hill,Spring Hill,TN,territory,True,100,60,20,20,20.0,14.42,39.1,,,,,,17,196,4.96,1,,False,False,ai_overview|organic|people_also_ask|perspectives|related_searches,5.3,24.6,100.0,98.3,100.0,100.0,4.3,99.3,4.3,100,LAUNCH,144.2
nw-sanantonio,Northwest San Antonio,Helotes,TX,territory,True,80,50,10,20,12.5,25.48,49.8,,15,5,87,MaidThis San Antonio,36,215,4.86,8,,True,False,local_pack|organic|people_also_ask|people_also_search|related_searches,0.0,64.4,62.5,94.4,100.0,92.9,0.0,96.7,0.0,80,LAUNCH,254.8
